Level;Multiplier;Power;Stardust_to_reach_level;Candy_to_reach_level;Cumulative_Stardust;Cumulative_Candy;;
1;0.094;11.9;0;0;0;0;;
1.5;0.135137432;17.1;200;1;200;1;;
2;0.16639787;21.1;200;1;400;2;;
2.5;0.192650919;24.4;200;1;600;3;;
3;0.21573247;27.3;200;1;800;4;;
3.5;0.236572661;29.9;400;1;1200;5;;
4;0.25572005;32.4;400;1;1600;6;;
4.5;0.273530381;34.6;400;1;2000;7;;
5;0.29024988;36.7;400;1;2400;8;;
5.5;0.306057377;38.7;600;1;3000;9;;
6;0.3210876;40.6;600;1;3600;10;;
6.5;0.335445036;42.4;600;1;4200;11;;
7;0.34921268;44.2;600;1;4800;12;;
7.5;0.362457751;45.9;800;1;5600;13;;
8;0.37523559;47.5;800;1;6400;14;;
8.5;0.387592406;49.0;800;1;7200;15;;
9;0.39956728;50.6;800;1;8000;16;;
9.5;0.411193551;52.0;1000;1;9000;17;;
10;0.42250001;53.5;1000;1;10000;18;;
10.5;0.432926419;54.8;1000;1;11000;19;;
11;0.44310755;56.1;1000;1;12000;20;;
11.5;0.453059958;57.3;1300;2;13300;22;;
12;0.46279839;58.6;1300;2;14600;24;;
12.5;0.472336083;59.8;1300;2;15900;26;;
13;0.48168495;60.9;1300;2;17200;28;;
13.5;0.4908558;62.1;1600;2;18800;30;;
14;0.49985844;63.2;1600;2;20400;32;;
14.5;0.508701765;64.4;1600;2;22000;34;;
15;0.51739395;65.5;1600;2;23600;36;;
15.5;0.525942511;66.5;1900;2;25500;38;;
16;0.53435433;67.6;1900;2;27400;40;;
16.5;0.542635767;68.7;1900;2;29300;42;;
17;0.55079269;69.7;1900;2;31200;44;;
17.5;0.558830576;70.7;2200;2;33400;46;;
18;0.56675452;71.7;2200;2;35600;48;;
18.5;0.574569153;72.7;2200;2;37800;50;;
19;0.58227891;73.7;2200;2;40000;52;;
19.5;0.589887917;74.6;2500;2;42500;54;;
20;0.59740001;75.6;2500;2;45000;56;;
20.5;0.604818814;76.5;2500;2;47500;58;;
21;0.61215729;77.5;2500;2;50000;60;;
21.5;0.619399365;78.4;3000;3;53000;63;;
22;0.62656713;79.3;3000;3;56000;66;;
22.5;0.633644533;80.2;3000;3;59000;69;;
23;0.64065295;81.1;3000;3;62000;72;;
23.5;0.647576426;81.9;3500;3;65500;75;;
24;0.65443563;82.8;3500;3;69000;78;;
24.5;0.661214806;83.7;3500;3;72500;81;;
25;0.667934;84.5;3500;3;76000;84;;
25.5;0.674577537;85.4;4000;3;80000;87;;
26;0.68116492;86.2;4000;3;84000;90;;
26.5;0.687680648;87.0;4000;4;88000;94;;
27;0.69414365;87.8;4000;4;92000;98;;
27.5;0.700538673;88.6;4500;4;96500;102;;
28;0.70688421;89.4;4500;4;101000;106;;
28.5;0.713164996;90.2;4500;4;105500;110;;
29;0.71939909;91.0;4500;4;110000;114;;
29.5;0.725571552;91.8;5000;4;115000;118;;
30;0.7317;92.6;5000;4;120000;122;;
30.5;0.734741009;93.0;5000;4;125000;126;;
31;0.73776948;93.4;5000;4;130000;130;;
31.5;0.740785574;93.7;6000;6;136000;136;;
32;0.74378943;94.1;6000;6;142000;142;;
32.5;0.746781211;94.5;6000;6;148000;148;;
33;0.74976104;94.9;6000;6;154000;154;;
33.5;0.752729087;95.2;7000;8;161000;162;;
34;0.75568551;95.6;7000;8;168000;170;;
34.5;0.758630378;96.0;7000;8;175000;178;;
35;0.76156384;96.4;7000;8;182000;186;;
35.5;0.764486065;96.7;8000;10;190000;196;;
36;0.76739717;97.1;8000;10;198000;206;;
36.5;0.770297266;97.5;8000;10;206000;216;;
37;0.7731865;97.8;8000;10;214000;226;;
37.5;0.776064962;98.2;9000;12;223000;238;;
38;0.77893275;98.6;9000;12;232000;250;;
38.5;0.781790055;98.9;9000;12;241000;262;;
39;0.78463697;99.3;9000;12;250000;274;;
39.5;0.787473578;99.6;10000;15;260000;289;;
40;0.7903;100.0;10000;15;270000;304;;